web_scraper_order,web_scraper_start_url,name,name2,data,data2,data3,data4,data5,data6,data7,data8,data9,image
"1778081744-1","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","","","","","","","","","Artist","","",""
"1778081744-2","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","What Is Love (7"" Mix)","","","4:30","Haddaway","The Album","","Haddaway","Haddaway","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-3","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Teenage Dirtbag","","","4:01","Wheatus","Wheatus","","Wheatus","Wheatus","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-4","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Call Me Maybe","","","3:13","Carly Rae Jepsen","Kiss (Deluxe Version)","","Carly Rae Jepsen","Carly Rae Jepsen","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-5","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Return of the Mack","","","3:33","Mark Morrison","Return of the Mack","","Mark Morrison","Mark Morrison","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-6","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Take On Me (2015 Remastered Version)","","","3:48","a-ha","Hunting High & Low (Remastered)","","a-ha","a-ha","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-7","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Save Tonight","","","3:55","Eagle-Eye Cherry","Grillen 2025","","Eagle-Eye Cherry","Eagle-Eye Cherry","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-8","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Pumped Up Kicks","","","3:59","Foster the People","Torches","","Foster the People","Foster the People","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-9","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Pony","","","5:20","Ginuwine","Greatest Hits","","Ginuwine","Ginuwine","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-10","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","My Sharona","","","4:55","The Knack","Get the Knack","","The Knack","The Knack","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-11","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","No Rain","","","3:37","Blind Melon","Blind Melon","","Blind Melon","Blind Melon","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-12","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","I'll Be There for You (Theme from Friends)","","","3:08","The Rembrandts","The Rembrandts: L.P.","","The Rembrandts","The Rembrandts","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-13","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Crazy","","","2:57","Gnarls Barkley","St. Elsewhere","","Gnarls Barkley","Gnarls Barkley","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-14","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Feel It Still","","","2:43","Portugal. The Man","Woodstock","","Portugal. The Man","Portugal. The Man","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-15","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Lady (Hear Me Tonight)","","","5:07","Modjo","Modjo (Remastered)","","Modjo","Modjo","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-16","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","","Baby Got Back","Sir Mix-A-Lot","4:22","Sir Mix-A-Lot","Mack Daddy","","","Sir Mix-A-Lot","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-17","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","Tainted Love","","","2:33","Soft Cell","Non-Stop Erotic Cabaret (Bonus Tracks Edition) [1996 Remaster]","","Soft Cell","Soft Cell","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
"1778081744-18","https://music.apple.com/eg/playlist/200-of-the-greatest-one-hit-wonders/pl.a61de6c089304cb69ff8682ec2de6592","What's Up?","","","4:55","4 Non Blondes","Bigger, Better, Faster, More!","","4 Non Blondes","4 Non Blondes","","PREVIEW","https://music.apple.com/assets/artwork/1x1.gif"
