artist,song,year,decade
Crow,Evil Woman Don't Play Your Games With Me,1970,1970s
Shocking Blue,Venus,1970,1970s
Jefferson,Baby Take Me in Your Arms,1970,1970s
Eddie Holman,Hey There Lonely Girl,1970,1970s
The Street People,Jennifer Tomkins,1970,1970s
Tee Set,Ma Belle Amie,1970,1970s
The Jaggerz,The Rapper,1970,1970s
Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970,1970s
Frijid Pink,The House of the Rising Sun,1970,1970s
Norman Greenbaum,Spirit in the Sky,1970,1970s
Jack Blanchard & Misty Morgan,Tennessee Bird Walk,1970,1970s
Marmalade,Reflections of My Life,1970,1970s
The Ides of March,Vehicle,1970,1970s
White Plains,My Baby Loves Lovin',1970,1970s
Blues Image,Ride Captain Ride,1970,1970s
Mountain,Mississippi Queen,1970,1970s
Five Stairsteps,O-o-h Child,1970,1970s
The Pipkins,Gimme Dat Ding,1970,1970s
Miguel Ríos,A Song of Joy (Himno a la Alegria),1970,1970s
Crabby Appleton,Go Back,1970,1970s
Pacific Gas & Electric,Are You Ready?,1970,1970s
Alive N Kickin',"Tighter, Tighter",1970,1970s
Robin McNamara,Lay a Little Lovin' on Me,1970,1970s
The Assembled Multitude,Overture from Tommy (A Rock Opera),1970,1970s
Mungo Jerry,In the Summertime,1970,1970s
Hotlegs,Neanderthal Man,1970,1970s
Free,All Right Now,1970,1970s
Teegarden and Van Winkle,"God, Love and Rock & Roll",1970,1970s
R. Dean Taylor,Indiana Wants Me,1970,1970s
100 Proof (Aged in Soul),Somebody's Been Sleeping,1970,1970s
Bobby Bloom,Montego Bay,1970,1970s
Christie,Yellow River,1970,1970s
The Presidents,5-10-15-20 (25-30 Years of Love),1970,1970s
Redeye,Games,1971,1970s
Lynn Anderson,Rose Garden,1971,1970s
Jackie Moore,"Precious, Precious",1971,1970s
Liz Damon's Orient Express,1900 Yesterday,1971,1970s
Wadsworth Mansion,Sweet Mary,1971,1970s
Bloodrock,D.O.A.,1971,1970s
Sammi Smith,Help Me Make It Through the Night,1971,1970s
Brewer & Shipley,One Toke Over the Line,1971,1970s
The Bells,Stay Awhile,1971,1970s
The Buoys,Timothy,1971,1970s
Ocean,Put Your Hand in The Hand,1971,1970s
Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),1971,1970s
Richie Havens,Here Comes The Sun,1971,1970s
The Fuzz,I Love You for All Seasons,1971,1970s
Matthews Southern Comfort,Woodstock,1971,1970s
Tin Tin,Toast and Marmalade for Tea,1971,1970s
Paul Humphrey & the Cool-Aid Chemists,Cool Aid,1971,1970s
The Beginning of The End,Funky Nassau,1971,1970s
Chase,Get It On,1971,1970s
Sounds of Sunshine,Love Means (You Never Have to Say You're Sorry),1971,1970s
Cymarron,Rings,1971,1970s
Dave and Ansell Collins,Double Barrel,1971,1970s
Jean Knight,Mr. Big Stuff,1971,1970s
Tom Clay,"What The World Needs Now Is Love/Abraham, Martin and John",1971,1970s
Five Man Electrical Band,Signs,1971,1970s
The Undisputed Truth,Smiling Faces Sometimes,1971,1970s
The Glass Bottle,I Ain't Got Time Anymore,1971,1970s
Mac & Katie Kissoon,Chirpy Chirpy Cheep Cheep,1971,1970s
Lee Michaels,Do You Know What I Mean?,1971,1970s
The Stampeders,Sweet City Woman,1971,1970s
Denise LaSalle,Trapped By a Thing Called Love,1971,1970s
The Free Movement,I've Found Someone of My Own,1971,1970s
Freddie Hart,Easy Loving,1971,1970s
Ten Years After,I'd Love to Change the World,1971,1970s
