web_scraper_order,web_scraper_start_url,data,name,data2,data3,data4,data5,data6,data7,data8,data9,image
"1778266532-1","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 Ardennes","Rdr2 Landscape","Rdr 2 Landscape","Rdr2 Mountains","Rdr2 Location","Rdr2 Scenery","Rdr2 Landscape Wallpaper","Rdr2 Environment","Rdr2 Mountain View","Red Dead Redemption 2 on an ultrawide monitor looks absolutely stunning","https://i.pinimg.com/originals/8e/25/4f/8e254f767052630f65c0df4f2e59a2c4.jpg"
"1778266532-2","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 Dakota River","Rdr2 Landscape 4k","Rdr2 Backgrounds","Rdr2 Visuals","Rdr2 Scenery Wallpaper","Rdr Landscape","Cattail Pond Rdr2","Rdr2 Nature","Rdr2 Landscape","Rdr2 Dakota River","https://i.pinimg.com/originals/3c/fd/40/3cfd40d9da71424ccfdb4a4f23d24b15.jpg"
"1778266532-3","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Arthur Morgan Low Honor Wallpaper","Rdr2 Deer","Deer From Rdr2","For Honor Highlander Art","Rdr2 Wallpaper Deer","Deer Wallpaper For Pc","Deer Wallpaper For Computer","Deer Desktop Wallpaper","Deer In Rdr2","Red Dead Redemption","https://i.pinimg.com/originals/6d/aa/0d/6daa0d7ff19117de37e3fa03d04dda8f.jpg"
"1778266532-4","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 Scene","Rdr2 View","Rdr Landscape","Heartlands Rdr2","New Hanover Rdr2","Video Game Screenshots","The Heartlands Rdr2","Rdr2 Nature","Rdr2 Landscape","Rdr2 Scene","https://i.pinimg.com/originals/d8/6e/b1/d86eb1d7de022e2303b5509250eccc66.jpg"
"1778266532-5","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Arid Desert Scenery","Desert Landscape With Cacti","Desert Photography Inspiration","Sunny Desert Landscape","Travel Destinations In Arid Regions","Tumbleweed Rdr2","Great Plains Rdr2","Empty Desert Landscape","Desert Landscape Desktop Wallpaper","Red dead Redemption 2","https://i.pinimg.com/originals/36/e7/f6/36e7f6f89ee509be444d603131f0cb8f.jpg"
"1778266532-6","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 View","Rdr Landscape","Heartlands Rdr2","Rdr2 Flowers","Rdr2 Nature","Rdr2 Landscape","Rdr2 Mountains","Roanoke Ridge Rdr2","Rdr2 Scenery","Rdr2 View","https://i.pinimg.com/originals/0e/5e/39/0e5e39cf799ab2df82fd38bdb19e0908.jpg"
"1778266532-7","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 Visuals","Rdr2 View","Rdr Landscape","Blackwater Rdr2","Wapiti Rdr2","Rdr2 Grizzlies East","Rdr2 Flowers","Rdr2 Nature","Rdr2 Landscape","Rdr2 Visuals","https://i.pinimg.com/originals/a5/b1/6e/a5b16e1251424e60a5f4e02aa058f747.jpg"
"1778266532-8","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","Rdr2 View","Arthur Morgan Mountain","Arthur Morgan Landscape","Rdr2 Horse","Rdr2 Nature","Rdr2 Landscape","Rdr 2 Landscape","Rdr2 Mountains","Rdr2 Scenery","rdr2 scenery","https://i.pinimg.com/originals/cc/af/78/ccaf782f0eac7008516b78f8814f067e.jpg"
"1778266532-9","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","","","","","","","","","","","https://i.pinimg.com/originals/12/ea/3b/12ea3b2d75bc5a4069fd57db6f8c4eee.jpg"
"1778266532-10","https://www.pinterest.com/ideas/rdr2-landscape/913282851666/","","","","","","","","","","","https://i.pinimg.com/originals/14/54/7a/14547a33a048185f0f46331386ce29c4.jpg"
